split,candidate_model,condition,template_id,rows,clusters,score_mean,score_sd_rows,score_median,score_ci_low,score_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,parse_error_rate,causal_marker_rate,high_quality_rate,perfect_score_rate
abductive,Llama-3.1-8B,A,1,397,397,0.7193954659949623,0.20486910647404039,0.8,0.699181167124424,0.7396097648655006,0.6272040302267002,0.5794324184689285,0.674975641984472,0.027707808564231738,0.9748110831234257,0.6649874055415617,0.16120906801007556
abductive,Llama-3.1-8B,A,2,397,397,0.6010075566750629,0.2331145997345922,0.6,0.5780062937163745,0.6240088196337513,0.5088161209068011,0.4594268797730974,0.5582053620405047,0.16120906801007556,0.982367758186398,0.4282115869017632,0.07556675062972293
abductive,Llama-3.1-8B,A,3,397,397,0.6201511335012595,0.23180664471780807,0.6,0.5972789255966665,0.6430233414058525,0.6246851385390428,0.5768487551977661,0.6725215218803196,0.09571788413098237,1.0,0.48614609571788414,0.08060453400503778
abductive,Llama-3.1-8B,A,4,397,397,0.636272040302267,0.25003879809874513,0.8,0.6116008779147908,0.6609432026897433,0.5843828715365239,0.5356944912182376,0.6330712518548102,0.10075566750629723,0.9697732997481109,0.5465994962216625,0.11335012594458438
abductive,Llama-3.1-8B,A,5,397,397,0.6236775818639799,0.25254977872398104,0.6,0.5987586626834458,0.648596501044514,0.5415617128463476,0.4923357423780717,0.5907876833146235,0.08312342569269521,0.9420654911838791,0.46851385390428213,0.15113350125944586
abductive,Llama-3.1-8B,B,1,397,397,0.7506297229219143,0.201962233751243,0.8,0.7307022432551523,0.7705572025886763,0.6272040302267002,0.5794324184689285,0.674975641984472,0.022670025188916875,0.9899244332493703,0.7506297229219143,0.19395465994962216
abductive,Llama-3.1-8B,B,2,397,397,0.6785894206549118,0.22578711970160822,0.8,0.6563111552916339,0.7008676860181897,0.6221662468513854,0.5742664723343055,0.6700660213684654,0.04785894206549118,0.9848866498740554,0.5969773299748111,0.11586901763224182
abductive,Llama-3.1-8B,B,3,397,397,0.7355163727959698,0.19713362093763173,0.8,0.7160653291532836,0.7549674164386561,0.6423173803526449,0.5949637123174709,0.6896710483878188,0.017632241813602016,1.0,0.7204030226700252,0.15113350125944586
abductive,Llama-3.1-8B,B,4,397,397,0.7642317380352645,0.1902423406659848,0.8,0.745460652446817,0.7830028236237119,0.6397984886649875,0.5923716431092019,0.687225334220773,0.0025188916876574307,0.9798488664987406,0.7783375314861462,0.19899244332493704
abductive,Llama-3.1-8B,B,5,397,397,0.729471032745592,0.21096931724873025,0.8,0.7086548301234576,0.7502872353677263,0.6397984886649875,0.5923716431092019,0.687225334220773,0.005037783375314861,0.9748110831234257,0.6750629722921915,0.19143576826196473
